Suositeltu yleiskielinen nimi	Tieteellinen nimi	Uhanalaisuusluokka	Tunniste	Suomenkielinen nimi
tiikerikatka	Gammarus tigrinus	NA (2019)	MX.53037	tiikerikatka
lätäkkökatka	Gammarus duebeni	LC (2019)	MX.214469	lätäkkökatka
purokatka	Gammarus pulex	LC (2019)	MX.214470	purokatka
järvikatka	Gammarus lacustris	LC (2019)	MX.214471	järvikatka
saaristokatka	Gammarus locusta	LC (2019)	MX.214472	saaristokatka
pohjoiskatka	Gammarus oceanicus	LC (2019)	MX.214473	pohjoiskatka
lahtikatka	Gammarus zaddachi	LC (2019)	MX.214474	lahtikatka
merikatka	Gammarus salinus	LC (2019)	MX.214475	merikatka
okakatka	Pallaseopsis quadrispinosa	LC (2019)	MX.214481	okakatka
merivalkokatka	Pontoporeia femorata	LC (2019)	MX.214457	merivalkokatka
valkokatka	Monoporeia affinis	LC (2019)	MX.214459	valkokatka
suistokatka	Melita nitida		MX.5111407	suistokatka
ansarikatka	Talitroides alluaudi	NA (2019)	MX.214484	ansarikatka
japaninkuuppaäyriäinen	Nippoleucon hinumensis		MX.5080647	japaninkuuppaäyriäinen
kaspianmassiainen	Hemimysis anomala	NA (2019)	MX.200601	kaspianmassiainen
hietamassiainen	Neomysis integer	LC (2019)	MX.214376	hietamassiainen
merimassiainen	Mysis mixta	LC (2019)	MX.214382	merimassiainen
jäännemassiainen	Mysis relicta	LC (2019)	MX.214379	jäännemassiainen
ulappamassiainen	Mysis salemaai	LC (2019)	MX.214380	ulappamassiainen
arktismassiainen	Mysis segerstralei	LC (2019)	MX.214381	arktismassiainen
rantamassiainen	Praunus flexuosus	LC (2019)	MX.214384	rantamassiainen
tyrskymassiainen	Praunus inermis	LC (2019)	MX.214385	tyrskymassiainen
saksisiira	Sinelobus vanhaareni		MX.5019385	saksisiira
siropallosiira	Armadillidium pulchellum	LC (2019)	MX.214431	siropallosiira
kirjopallosiira	Armadillidium pictum	LC (2019)	MX.214432	kirjopallosiira
mustapallosiira	Armadillidium vulgare	NA (2019)	MX.214433	mustapallosiira
tyrskypallosiira	Armadillidium zenckeri	DD (2019)	MX.214434	tyrskypallosiira
nokkapallosiira	Armadillidium nasatum	NA (2019)	MX.214435	nokkapallosiira
juovapallosiira	Armadillidium opacum	LC (2019)	MX.214436	juovapallosiira
panssarisiira	Buddelundiella cataractae	NA (2019)	MX.214408	panssarisiira
linnasiira	Cylisticus convexus	LC (2019)	MX.214428	linnasiira
tarhasiira	Oniscus asellus	LC (2019)	MX.214411	tarhasiira
raitasiira	Philoscia muscorum		MX.5094414	raitasiira
muurahaissiira	Platyarthrus hoffmannseggii	RE (2019)	MX.214414	muurahaissiira
kuulassiira	Trichorhina tomentosa		MX.5096646	kuulassiira
härmäsiira	Porcellionides pruinosus	NA (2019)	MX.289635	härmäsiira
keltatäpläsiira	Porcellio spinicornis	LC (2019)	MX.214422	keltatäpläsiira
isokyhmysiira	Porcellio dilatatus	NA (2019)	MX.214424	isokyhmysiira
kyhmysiira	Porcellio scaber	LC (2019)	MX.214425	kyhmysiira
lehtosiira	Trachelipus rathkii	LC (2019)	MX.214417	lehtosiira
aavesiiranen	Metatrichoniscoides leydigii	NA (2019)	MX.289695	aavesiiranen
punasilmäsiiranen	Trichoniscoides sarsi	NA (2019)	MX.214393	punasilmäsiiranen
nystysiiranen	Trichoniscoides albidus	NA (2019)	MX.214394	nystysiiranen
rusosiiranen	Androniscus dentiger	NA (2019)	MX.214396	rusosiiranen
rantasiiranen	Hyloniscus riparius	NA (2019)	MX.214398	rantasiiranen
kääpiösiiranen	Trichoniscus pygmaeus	NA (2019)	MX.214400	kääpiösiiranen
metsäsiiranen	Trichoniscus pusillus	LC (2019)	MX.214401	metsäsiiranen
ansarisiiranen	Trichoniscus provisorius	NA (2019)	MX.214402	ansarisiiranen
kompostisiiranen	Haplophthalmus danicus	NA (2019)	MX.214404	kompostisiiranen
harjusiiranen	Haplophthalmus mengii	NA (2019)	MX.214405	harjusiiranen
kilkki	Saduria entomon	LC (2019)	MX.214439	kilkki
leväsiira	Idotea balthica	LC (2019)	MX.214442	leväsiira
tyrskyleväsiira	Idotea granulosa	LC (2019)	MX.214443	tyrskyleväsiira
hoikkaleväsiira	Idotea chelipes	LC (2019)	MX.214444	hoikkaleväsiira
vesisiira	Asellus aquaticus	LC (2019)	MX.214448	vesisiira
	Jaera praehirsuta	LC (2019)	MX.214451	
	Jaera albifrons	LC (2019)	MX.214452	
	Jaera ischiosetosa	LC (2019)	MX.214454	
kalatäi	Argulus foliaceus		MX.214370	kalatäi
siiankalatäi	Argulus coregoni	NE (2019)	MX.214371	siiankalatäi
	Linguatula arctica		MX.214374	
kuonomato	Linguatula serrata		MX.230755	kuonomato
	Passeroptes dermicola		MX.202976	
	Microlichus avus		MX.202630	
	Gabucinia delibata		MX.202130	
	Hieracolichus nisi		MX.202257	
	Kramerella aluconis		MX.202384	
	Kramerella bubonis		MX.202385	
	Kramerella flammei		MX.202386	
	Kramerella major		MX.202387	
	Pseudalloptes bimucronatus		MX.203184	
	Pseudalloptes bisubulatus		MX.203185	
	Pseudalloptinus aquilinus		MX.203187	
	Pterolichus obtusus		MX.203200	
	Tetraolichus microdiscus		MX.203485	
	Ptiloxenus major		MX.203203	
	Sarcoptes scabiei		MX.5110641	
	Ceratixodes uriae	NE (2010)	MX.201711	
puutiainen	Ixodes ricinus	LC (2010)	MX.202370	puutiainen
siperianpuutiainen	Ixodes persulcatus		MX.4891373	siperianpuutiainen
	Ameroseius corbiculus	LC (2010)	MX.201441	
	Ameroseius lehtineni	NE (2010)	MX.201442	
	Ameroseius longitrichus	NE (2010)	MX.201443	
	Ameroseius georgei		MX.4999740	
	Epicriopsis horridus	NE (2010)	MX.201975	
	Epicriopsis rivus	NE (2010)	MX.201976	
	Epicriopsis suedus		MX.4999739	
	Proctolaelaps fiseri	NE (2010)	MX.203155	
	Proctolaelaps juradeus	LC (2010)	MX.203156	
	Proctolaelaps pini	LC (2010)	MX.203157	
	Proctolaelaps pomorum		MX.203158	
	Proctolaelaps pygmaeus	LC (2010)	MX.203159	
	Proctolaelaps stammeri	NE (2010)	MX.203160	
	Proctolaelaps xyloteri		MX.203161	
	Proctolaelaps hemisphaericus		MX.5110360	
	Sinoseius lobatus		MX.5110596	
	Ameroseiella macrochelae	NE (2010)	MX.201440	
	Kleemannia plumea	NE (2010)	MX.201444	
	Antennophorus pubescens	NE (2010)	MX.201456	
	Arctoseius brevichelis	LC (2010)	MX.201520	
	Arctoseius cetratus	LC (2010)	MX.201521	
	Arctoseius haarlovi		MX.201522	
	Arctoseius insularis		MX.201523	
	Arctoseius pristinus	NE (2010)	MX.201524	
	Arctoseius semiscissus	LC (2010)	MX.201525	
	Arctoseius dendrophilus	LC (2010)	MX.202361	
	Arctoseius magnanalis	NE (2010)	MX.202443	
	Arctoseius ambiguus		MX.4999741	
	Asca aphidioides	LC (2010)	MX.201537	
	Asca bicornis	NE (2010)	MX.201538	
	Cheiroseius borealis	LC (2010)	MX.201740	
	Cheiroseius bryophilus	NE (2010)	MX.201741	
	Cheiroseius cassiteridium	LC (2010)	MX.201742	
	Cheiroseius curtipes	LC (2010)	MX.201743	
	Cheiroseius laelaptoides	LC (2010)	MX.201744	
	Cheiroseius longipes	LC (2010)	MX.201745	
	Cheiroseius mutilus	LC (2010)	MX.201746	
	Cheiroseius necorniger	LC (2010)	MX.201747	
	Cheiroseius nepalensis	NE (2010)	MX.201748	
	Cheiroseius serratus	NE (2010)	MX.201749	
	Cheiroseius unguiculatus		MX.201750	
	Cheiroseius viduus	NE (2010)	MX.201751	
	Cheiroseius aequalis		MX.4999776	
	Cheiroseius salicorniae		MX.4999777	
	Gamasellodes bicolor	LC (2010)	MX.202137	
	Iphidonopsis sculptus	NE (2010)	MX.202362	
	Iphidozercon corticalis	NE (2010)	MX.202367	
	Iphidozercon gibbus	LC (2010)	MX.202368	
	Leioseius elongatus	LC (2010)	MX.202442	
	Platyseius italicus	LC (2010)	MX.203111	
	Platyseius subglaber	NE (2010)	MX.203112	
	Zerconopsis michaeli	NE (2010)	MX.203729	
	Zerconopsis remiger		MX.4999744	
	Zercoseius spathuliger	NE (2010)	MX.203731	
	Celaenopsis badius	LC (2010)	MX.201685	
	Pleuronectocelaeno barbara		MX.5110358	
	Dendrolaelaps cornutulus	LC (2010)	MX.201800	
	Dendrolaelaps myrmecophilus	NE (2010)	MX.201801	
	Dendrolaelaps presepum		MX.201802	
	Dendrolaelaps puncatosimilis	NE (2010)	MX.201803	
	Dendrolaelaps undulatus	NE (2010)	MX.201804	
	Dendrolaelaps brevipilis	NE (2010)	MX.201846	
	Dendrolaelaps casualis	NE (2010)	MX.201847	
	Dendrolaelaps cornutus	LC (2010)	MX.201848	
	Dendrolaelaps foveolatus	LC (2010)	MX.201849	
	Dendrolaelaps oudemansi	LC (2010)	MX.201850	
	Dendrolaelaps procornutus	NE (2010)	MX.201851	
	Dendrolaelaps samsinaki	NE (2010)	MX.201852	
	Dendrolaelaps stammeri	NE (2010)	MX.201853	
	Dendrolaelaps zwoelferi	LC (2010)	MX.201854	
	Dendrolaelaps angulosus	NE (2010)	MX.201856	
	Dendrolaelaps quadrisetus	NE (2010)	MX.202357	
	Dendrolaelaps euepistomus	NE (2010)	MX.202680	
	Dendrolaelaps putte	NE (2010)	MX.202681	
	Dendrolaelaps spinosus	NE (2010)	MX.202682	
	Dendrolaelaps subcorticalis	NE (2010)	MX.202683	
	Dendrolaelaps tetraspinosus	NE (2010)	MX.202684	
	Dendrolaelaps arvicolus	LC (2010)	MX.203205	
	Dendrolaelaps fallax	LC (2010)	MX.203206	
	Dendrolaelaps formicarius	LC (2010)	MX.203207	
	Dendrolaelaps longifallax	NE (2010)	MX.203208	
	Dendrolaelaps punctatulus	LC (2010)	MX.203209	
	Dendrolaelaps rotundus	LC (2010)	MX.203210	
	Dendrolaelaps saprophilus	NE (2010)	MX.203211	
	Dendrolaelaps sellnicki	LC (2010)	MX.203212	
	Dendrolaelaps strenzkei	LC (2010)	MX.203213	
	Dendrolaelaps trapezoides	LC (2010)	MX.203214	
	Dendrolaelaps willmanni		MX.4999709	
	Dendrolaelaps disetosimilis		MX.5110347	
	Digamasellus punctum	NE (2010)	MX.201884	
	Epicrius resinae	LC (2010)	MX.201978	
	Alliphis siculus	LC (2010)	MX.201378	
	Eviphis ostrinus	LC (2010)	MX.202116	
	Iphidosoma fimetarium		MX.202364	
	Iphidosoma physogastris	NE (2010)	MX.202365	
	Thinoseius spinosus	NE (2010)	MX.203502	
	Eulaelaps stabularis	LC (2010)	MX.202078	
	Haemogamadsus horridus	NE (2010)	MX.202192	
	Haemogamasus ambulans	NE (2010)	MX.202195	
	Haemogamasus hirsutus	NE (2010)	MX.202196	
	Haemogamasus nidi	LC (2010)	MX.202197	
	Haemogamasus pontiger	NE (2010)	MX.202198	
	Haemogamasus liponyssoides		MX.4999818	
	Haemogamasus nidiformes		MX.4999819	
	Hirstionyssus isabellinus	NE (2010)	MX.202264	
	Hirstionyssus sciurinus	NE (2010)	MX.202265	
	Hirstionyssus gudauricus		MX.4999821	
	Hirstionyssus soricis		MX.4999822	
	Hirstionyssus sunci		MX.4999823	
	Myonyssus ingricus	NE (2010)	MX.202693	
	Varroa jacobsoni	NE (2010)	MX.203644	
	Pneumonyssoides caninum		MX.4999826	
	Antennoseius bacatus	NE (2010)	MX.201458	
	Antennoseius bullitus		MX.201459	
	Antennoseius masoviae		MX.5110346	
	Halolaelaps porulus	NE (2010)	MX.202208	
	Halolaelaps punctulatus	LC (2010)	MX.202209	
	Halolaelaps sexclavatus	LC (2010)	MX.202210	
	Halolaelaps sculpturatus		MX.4999735	
	Halolaelaps quadricavatus		MX.5110350	
	Saprosecans baloghi	LC (2010)	MX.203273	
	Hypoaspis krameri	NE (2010)	MX.202312	
	Pseudoparasitus missouriensis	LC (2010)	MX.202299	
	Ololaelaps placentulus	LC (2010)	MX.203193	
	Ololaelaps sellnicki	LC (2010)	MX.203194	
	Ololaelaps venetus	NE (2010)	MX.203195	
	Cosmolaelaps cuneifer	NE (2010)	MX.202301	
	Cosmolaelaps miles	NE (2010)	MX.202315	
	Cosmolaelaps neocuneifer	LC (2010)	MX.202317	
	Cosmolaelaps vacua	LC (2010)	MX.202325	
	Alloparasitus oblonga	LC (2010)	MX.202319	
	Alloparasitus pratensis	LC (2010)	MX.202321	
	Alloparasitus sardoa	NE (2010)	MX.202323	
	Gaeolaelaps aculeifer	LC (2010)	MX.202296	
	Gaeolaelaps angustiscutatus	NE (2010)	MX.202297	
	Gaeolaelaps brevipis		MX.202303	
	Gaeolaelaps fishtowni	LC (2010)	MX.202305	
	Gaeolaelaps hirschmanni		MX.202309	
	Gaeolaelaps nolli	LC (2010)	MX.202318	
	Gaeolaelaps praesternalis		MX.202320	
	Gaeolaelaps similisetae	LC (2010)	MX.202324	
	Pneumolaelaps curtipilis	LC (2010)	MX.202302	
	Pneumolaelaps giffordi	LC (2010)	MX.202306	
	Pneumolaelaps heterosetosus	NE (2010)	MX.202307	
	Pneumolaelaps heyi	NE (2010)	MX.202308	
	Pneumolaelaps hyatti		MX.5110359	
	Holostaspis collina	NE (2010)	MX.202300	
	Holostaspis isotricha	NE (2010)	MX.202310	
	Holostaspis montana	LC (2010)	MX.202316	
	Laelaspis astronomica	LC (2010)	MX.202298	
	Laelaspis equitans	NE (2010)	MX.202304	
	Euandrolaelaps karawaievi	NE (2010)	MX.202311	
	Hypoaspisella lubrica	NE (2010)	MX.202313	
	Hypoaspisella lubricoides	LC (2010)	MX.202314	
	Hypoaspisella asperata	NE (2010)	MX.202322	
	Hypoaspisella saana	LC (2010)	MX.202339	
	Androlaelaps casalis	LC (2010)	MX.201448	
	Androlaelaps myrmecophilus	LC (2010)	MX.201449	
	Hyperlaelaps amphibius	NE (2010)	MX.202292	
	Hyperlaelaps microti		MX.202293	
	Laelaps agilis	NE (2010)	MX.202397	
	Laelaps hilaris	NE (2010)	MX.202398	
	Laelaps lemmi	NE (2010)	MX.202399	
	Laelaps micromydis	NE (2010)	MX.202400	
	Laelaps muris	LC (2010)	MX.202401	
	Laelaps clethrionomydis		MX.4999820	
	Ondatralaelaps multispinosa		MX.202802	
	Geholaspis hortorum		MX.202147	
	Geholaspis longispinosus	LC (2010)	MX.202148	
	Geholaspis mandibularis		MX.202149	
	Holostaspella exornata	NE (2010)	MX.202272	
	Holostaspella ornata	NE (2010)	MX.202273	
	Holostaspella subornata	LC (2010)	MX.202274	
	Macrocheles ancyleus	NE (2010)	MX.202537	
	Macrocheles decoloratus	NE (2010)	MX.202538	
	Macrocheles glaber	LC (2010)	MX.202539	
	Macrocheles insignitus	LC (2010)	MX.202540	
	Macrocheles mammifer	NE (2010)	MX.202541	
	Macrocheles matrius	NE (2010)	MX.202542	
	Macrocheles merdarius	LC (2010)	MX.202543	
	Macrocheles montanus	LC (2010)	MX.202544	
	Macrocheles muscaedomesticae	LC (2010)	MX.202545	
	Macrocheles rotundiscutis	LC (2010)	MX.202546	
	Macrocheles subbadius	LC (2010)	MX.202547	
	Macrocheles tardus	LC (2010)	MX.202548	
	Macrocheles robustulus		MX.4999736	
	Pachyseius humeralis	NE (2010)	MX.202886	
	Pachyseius wideventris	LC (2010)	MX.202887	
	Parholaspulus alstoni		MX.202967	
	Glyptholaspis confusa		MX.4999738	
	Dermanyssus gallinae	NE (2010)	MX.201864	
	Dermanyssus hirundinis	LC (2010)	MX.201865	
	Ophionyssus saurarum	NE (2010)	MX.202804	
	Ornithonyssus sylviarum	LC (2010)	MX.202846	
	Ornithonyssus bacoti		MX.5110355	
	Microgynium rectangulatum	LC (2010)	MX.202628	
	Microsejus truncicola	LC (2010)	MX.202641	
	Gamasellus alpinus		MX.5110349	
	Gamasellus montanus	LC (2010)	MX.202139	
	Onchodellus alpinus	LC (2010)	MX.202795	
	Onchodellus bibulus	LC (2010)	MX.202796	
	Onchodellus falcifer	NE (2010)	MX.202797	
	Onchodellus reticulatus	NE (2010)	MX.202798	
	Onchodellus siculus	NE (2010)	MX.202799	
	Onchodellus slovacus	NE (2010)	MX.202800	
	Pachydellus furcifer	LC (2010)	MX.202869	
	Pachydellus hades		MX.202870	
	Pachydellus problematicus	LC (2010)	MX.202871	
	Pachydellus sculptus		MX.202872	
	Pachylaelaps littoralis	NE (2010)	MX.202881	
	Pachylaelaps longisetis	NE (2010)	MX.202882	
	Amblygamasus mirabilis		MX.201412	
	Amblygamasus stramenis		MX.201413	
	Cornigamasus lunaris	LC (2010)	MX.201798	
	Eugamasus cavernicolus	NE (2010)	MX.202076	
	Eugamasus crassitarsis		MX.4999708	
	Gamasodes bispinosus	LC (2010)	MX.202141	
	Gamasodes spiniger	NE (2010)	MX.202142	
	Holoparasitus calcaratus	LC (2010)	MX.202267	
	Holoparasitus excisus	NE (2010)	MX.202268	
	Holoparasitus inornatus	NE (2010)	MX.202269	
	Holoparasitus tirolensis	NE (2010)	MX.202270	
	Leptogamasus succineus		MX.202450	
	Leptogamasus suecicus	LC (2010)	MX.202451	
	Lysigamasus armatus		MX.202516	
	Lysigamasus celticus		MX.202517	
	Lysigamasus digitulus		MX.202518	
	Lysigamasus lapponicus		MX.202519	
	Lysigamasus nasellus		MX.202520	
	Lysigamasus parrunciger		MX.202521	
	Lysigamasus pratincola		MX.202522	
	Lysigamasus runcatellus		MX.202523	
	Lysigamasus runciger		MX.202524	
	Lysigamasus schweizeri		MX.202525	
	Lysigamasus truncus		MX.202526	
	Lysigamasus vagabundus		MX.202527	
	Lysigamasus misellus		MX.4999701	
	Paragamasus diversus	NE (2010)	MX.202910	
	Paragamasus robustus	NE (2010)	MX.202911	
	Paragamasus similis	LC (2010)	MX.202912	
	Parasitellus fucorum	NE (2010)	MX.202923	
	Parasitus beta	LC (2010)	MX.202926	
	Parasitus coleoptratorum		MX.202927	
	Parasitus consanguines	NE (2010)	MX.202928	
	Parasitus fimetorum	LC (2010)	MX.202929	
	Parasitus halophilus		MX.202930	
	Parasitus hyalinus	NE (2010)	MX.202931	
	Parasitus kempersi	NE (2010)	MX.202932	
	Parasitus loricatus	NE (2010)	MX.202933	
	Parasitus lunulatus	NE (2010)	MX.202934	
	Parasitus mammillatus	NE (2010)	MX.202935	
	Pergamasus brevicornis	LC (2010)	MX.202998	
	Pergamasus crassipes	LC (2010)	MX.202999	
	Pergamasus mediocris	NE (2010)	MX.203000	
	Pergamasus norvegicus	LC (2010)	MX.203001	
	Pergamasus quisquiliarum	LC (2010)	MX.203002	
	Poecilochirus carabi	NE (2010)	MX.203120	
	Trachygamasus ambulacris	NE (2010)	MX.203526	
	Trachygamasus gracilis	NE (2010)	MX.203527	
	Trachygamasus medianus	NE (2010)	MX.203528	
	Vulgarogamasus kraepelini	LC (2010)	MX.203656	
	Vulgarogamasus oudemansi	NE (2010)	MX.203657	
	Vulgarogamasus remberti	LC (2010)	MX.203658	
	Neogamasus insignis		MX.4999707	
	Amblyseius bidens	NE (2010)	MX.201417	
	Amblyseius fennicus		MX.201419	
	Amblyseius neobernhardi	NE (2010)	MX.201422	
	Amblyseius obtusus	LC (2010)	MX.201423	
	Amblyseius silvaticus	NE (2010)	MX.201425	
	Amblyseius tavasticus	NE (2010)	MX.201427	
	Amblyseius valsoensis	NE (2010)	MX.201428	
	Amblyseius similifloridanus		MX.201431	
	Blattisocius dendriticus	NE (2010)	MX.201591	
	Blattisocius keegani	NE (2010)	MX.201592	
	Euseius finlandicus	LC (2010)	MX.202104	
	Paraseiulus soleiger	LC (2010)	MX.202919	
	Paraseiulus talbii	NE (2010)	MX.202920	
	Paraseiulus triporus	NE (2010)	MX.202921	
	Phytoseiulus persimilis	NE (2010)	MX.203089	
	Phytoseiulus poofi		MX.5110356	
	Proprioseiopsis jugortus	LC (2010)	MX.203163	
	Proprioseiopsis messor	NE (2010)	MX.203164	
	Proprioseiopsis okanagensis	NE (2010)	MX.203165	
	Proprioseiopsis savonicus	NE (2010)	MX.203166	
	Proprioseiopsis sororculus		MX.203167	
	Proprioseiopsis umidus	NE (2010)	MX.203168	
	Typhlodromus bakeri	NE (2010)	MX.201467	
	Typhlodromus rhenanus	NE (2010)	MX.201468	
	Typhlodromus richteri	NE (2010)	MX.201469	
	Typhlodromus suecicus	NE (2010)	MX.201470	
	Typhlodromus viktorovi	NE (2010)	MX.201471	
	Typhlodromus andrei	NE (2010)	MX.203600	
	Typhlodromus corticis	NE (2010)	MX.203601	
	Typhlodromus eucervix	NE (2010)	MX.203602	
	Typhlodromus laurae	NE (2010)	MX.203603	
	Typhlodromus pyri	NE (2010)	MX.203604	
	Transeius herbarius		MX.201420	
	Neoseiulus alpinus	NE (2010)	MX.201415	
	Neoseiulus barkeri	NE (2010)	MX.201416	
	Neoseiulus cucumeris	NE (2010)	MX.201418	
	Neoseiulus reductus	NE (2010)	MX.201424	
	Neoseiulus subsolidus	NE (2010)	MX.201426	
	Neoseiulus zwoelferi	LC (2010)	MX.201429	
	Neoseiulus agrestis		MX.4999750	
	Typhlodromips jurmoensis		MX.201421	
	Phytoseius juvenis	NE (2010)	MX.201946	
	Phytoseius macropilis	NE (2010)	MX.201947	
	Phytoseius echinus	NE (2010)	MX.201949	
	Phytoseius turiacus	NE (2010)	MX.201950	
	Neoseiulella aceri	NE (2010)	MX.203312	
	Lasioseius allii	NE (2010)	MX.202420	
	Lasioseius berlesei	NE (2010)	MX.202421	
	Lasioseius bispinosus	LC (2010)	MX.202422	
	Lasioseius confusus	NE (2010)	MX.202423	
	Lasioseius incospicuus	NE (2010)	MX.202425	
	Lasioseius muricatus	NE (2010)	MX.202427	
	Lasioseius ometes	LC (2010)	MX.202428	
	Lasioseius youcefi	NE (2010)	MX.202429	
	Lasioseius floridensis		MX.4999773	
	Lasioseius mirabilis		MX.5110354	
	Neojordensia levis	NE (2010)	MX.202728	
	Neojordensia meritricha	LC (2010)	MX.202729	
	Neojordensia sinuata	LC (2010)	MX.202730	
	Orthadenella lawrencei	LC (2010)	MX.202426	
	Polyaspis sansonei	LC (2010)	MX.203127	
	Uroseius acuminatus	NE (2010)	MX.203639	
	Uroseius hunzikeri	NE (2010)	MX.203640	
	Uroseius infirmus	NE (2010)	MX.203641	
	Uroseius koehleri	NE (2010)	MX.203642	
	Cyrtolaelaps mucronatus	NE (2010)	MX.201831	
	Rhodacarellus epigynalis	NE (2010)	MX.203233	
	Rhodacarellus kreuzi	LC (2010)	MX.203234	
	Rhodacarellus silesiacus	LC (2010)	MX.203235	
	Rhodacarus calcarulatus		MX.203238	
	Rhodacarus clavulatus		MX.203239	
	Rhodacarus coronatus	LC (2010)	MX.203240	
	Rhodacarus haarlovi	LC (2010)	MX.203241	
	Rhodacarus mandibularis	LC (2010)	MX.203242	
	Rhodacarus roseus		MX.203243	
	Stylochirus minor	NE (2010)	MX.203396	
	Sejus togatus	LC (2010)	MX.203315	
	Spinturnix carnifex		MX.203370	
	Spinturnix myoti	NE (2010)	MX.203371	
	Spinturnix mystacinus	NE (2010)	MX.203372	
	Spinturnix plecotinus		MX.203373	
	Spinturnix psi		MX.203374	
	Trachytes aegrota	LC (2010)	MX.203530	
	Trachytes edleri	NE (2010)	MX.203531	
	Trachytes hirschmanni	LC (2010)	MX.203532	
	Trachytes oudemansi	NE (2010)	MX.203533	
	Trachytes pauperior	LC (2010)	MX.203534	
	Trachytes pecinai	NE (2010)	MX.203535	
	Oplitis alophora	NE (2010)	MX.202810	
	Oplitis minutissima	NE (2010)	MX.202811	
	Oplitis paradoxa	LC (2010)	MX.202812	
	Oplitis pecinai	NE (2010)	MX.202813	
	Oplitis philoctena	NE (2010)	MX.202814	
	Oplitis stammeri	NE (2010)	MX.202815	
	Oplitis wasmanni	NE (2010)	MX.202816	
	Trachyuropoda coccinea	LC (2010)	MX.203538	
	Trachyuropoda excavata	NE (2010)	MX.203539	
	Trachyuropoda formicaria	LC (2010)	MX.203540	
	Trachyuropoda hirschmanni	NE (2010)	MX.203541	
	Trachyuropoda poppi	NE (2010)	MX.203542	
	Trachyuropoda wasmanniana	NE (2010)	MX.203543	
	Nenteria breviunguiculata	LC (2010)	MX.202717	
	Nenteria hirschmanni		MX.202718	
	Nenteria oudemansi	NE (2010)	MX.202719	
	Nenteria ritzemai	NE (2010)	MX.202720	
	Nenteria stammeri	LC (2010)	MX.202721	
	Trichouropoda beckwithi	NE (2010)	MX.203566	
	Trichouropoda dialveolata	LC (2010)	MX.203567	
	Trichouropoda elegans	NE (2010)	MX.203568	
	Trichouropoda obscura	LC (2010)	MX.203569	
	Trichouropoda orbicularis	NE (2010)	MX.203570	
	Trichouropoda ovalis	LC (2010)	MX.203571	
	Trichouropoda pecinaituberosa	NE (2010)	MX.203572	
	Trichouropoda polyctenaphila	LC (2010)	MX.203573	
